INFO:__main__:Using framework: os_ken
INFO:__main__:OpenFlow listen port: 6633
INFO:os_ken.base.app_manager:loading app os_ken.controller.ofp_handler
INFO:os_ken.base.app_manager:loading app ryu_controller
INFO:os_ken.base.app_manager:loading app os_ken.controller.ofp_handler
INFO:os_ken.base.app_manager:instantiating app os_ken.controller.ofp_handler of OFPHandler
INFO:os_ken.base.app_manager:instantiating app ryu_controller of SimpleSDNMonitor
INFO:ryu_controller:CSV logging → stats: /mnt/mpclient/logs/flow_stats_20260331_193354.csv
INFO:ryu_controller:CSV logging → events: /mnt/mpclient/logs/events_20260331_193354.csv
INFO:__main__:Controller started with 1 services.
INFO:ryu_controller:Installed table-miss flow on datapath 1
INFO:ryu_controller:Datapath 1 connected
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1934.8 sustain=1
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1936.7 sustain=1
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1160.9 sustain=2
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1162.0 sustain=2
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=696.5 sustain=3
INFO:ryu_controller:Trigger mitigation for 10.0.0.1 on dpid 1 (ema=696.5)
INFO:ryu_controller:Installed drop flow on dpid=1 for src=10.0.0.1 (idle_timeout=30s)
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=697.2 sustain=3
INFO:ryu_controller:Trigger mitigation for 10.0.0.2 on dpid 1 (ema=697.2)
INFO:ryu_controller:Installed drop flow on dpid=1 for src=10.0.0.2 (idle_timeout=30s)
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=2220.8 sustain=3
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=2221.0 sustain=3
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1332.5 sustain=4
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1332.6 sustain=4
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=2769.5 sustain=5
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=2769.6 sustain=5
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1661.7 sustain=6
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1661.7 sustain=6
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=2967.0 sustain=7
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=2967.0 sustain=7
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1780.2 sustain=8
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1780.2 sustain=8
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3038.1 sustain=9
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3038.1 sustain=9
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1822.9 sustain=10
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1822.9 sustain=10
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=3063.7 sustain=11
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=3063.7 sustain=11
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.1 ema=1838.2 sustain=12
INFO:ryu_controller:Potential anomaly: dpid=1 src=10.0.0.2 ema=1838.2 sustain=12
